Run nr;Date;IC batch nr;Internal ctrl;IC SD;UCL=Ct+1SD;UCL=Ct+2SD;LCL=Ct-1SD;LCL=Ct-2SD;Remark;Run result
42;27/02/2025;241205062_IC;32,00;1,23;31,59;33,11;28,55;27,03;;Warning
43;28/02/2025;241205062_IC;32,24;1,23;31,59;33,11;28,55;27,03;;Warning
44;03/03/2025;241205062_IC;32,56;1,23;31,59;33,11;28,55;27,03;;Warning
45;04/03/2025;241205063_IC;28,98;1,58;;;;;New batch after 4 warnings;
46;05/03/2025;241205063_IC;29,74;1,48;;;;;;
47;06/03/2025;241205063_IC;31,78;1,44;;;;;;
48;07/03/2025;241205063_IC;29,71;1,34;;;;;;
49;10/03/2025;241205063_IC;31,49;1,35;;;;;;
50;11/03/2025;241205063_IC;28,68;1,25;;;;;;
51;12/03/2025;241205063_IC;28,50;1,29;31,35;32,64;28,78;27,49;Standard deviation calculated over 6 repeats;Warning
52;13/03/2025;241205063_IC;33,50;1,29;31,35;32,64;28,78;27,49;Pipeting error? Rest of assay looks fine. ;Failed
53;14/03/2025;241205063_IC;30,19;1,29;31,35;32,64;28,78;27,49;;Passed
54;17/03/2025;241205063_IC;31,51;1,29;31,35;32,64;28,78;27,49;;Warning
55;18/03/2025;241205063_IC;29,88;1,29;31,35;32,64;28,78;27,49;;Passed
56;19/03/2025;241205063_IC;29,42;1,29;31,35;32,64;28,78;27,49;;Passed
57;20/03/2025;241205063_IC;29,57;1,29;31,35;32,64;28,78;27,49;;Passed
58;21/03/2025;241205063_IC;29,14;1,29;31,35;32,64;28,78;27,49;;Passed
59;24/03/2025;241205063_IC;28,15;1,29;31,35;32,64;28,78;27,49;Who ate my lunch?! ;Warning
60;25/03/2025;241205063_IC;28,31;1,29;31,35;32,64;28,78;27,49;;Warning
61;26/03/2025;241205063_IC;30,58;1,29;31,35;32,64;28,78;27,49;;Passed
62;27/03/2025;241205063_IC;28,99;1,29;31,35;32,64;28,78;27,49;;Passed
63;28/03/2025;241205063_IC;29,20;1,29;31,35;32,64;28,78;27,49;;Passed
64;31/03/2025;241205063_IC;29,63;1,29;31,35;32,64;28,78;27,49;;Passed
65;01/04/2025;241205063_IC;28,39;1,29;31,35;32,64;28,78;27,49;;Warning
66;02/04/2025;241205063_IC;28,73;1,29;31,35;32,64;28,78;27,49;;Warning
67;03/04/2025;241205063_IC;30,53;0,74;31,35;32,64;28,78;27,49;;Passed
68;04/04/2025;241205063_IC;29,95;0,86;31,35;32,64;28,78;27,49;;Passed
